,image_name,path,label,coor_0,coor_1,coor_2,coor_3,coor_4,coor_5,coor_6,coor_7,coor_8,coor_9,coor_10,coor_11,coor_12,coor_13,coor_14,coor_15
22,00013490_001,images/00013490_001.png,1,3 264 29 271,3 264 233 475,3 262 417 719,3 262 621 923,177 439 29 271,177 439 233 475,175 434 417 719,175 434 621 923,351 613 29 271,351 613 233 475,348 607 417 719,348 607 621 923,526 795 29 271,526 795 233 475,520 787 417 719,520 787 621 923
23,00005563_004,images/00005563_004.png,1,3 260 87 381,3 260 291 585,0 267 461 755,0 267 665 959,174 431 87 381,174 431 291 585,178 445 461 755,178 445 665 959,345 602 87 381,345 602 291 585,356 623 461 755,356 623 665 959,516 781 87 381,516 781 291 585,534 809 461 755,534 809 665 959
24,00020340_002,images/00020340_002.png,1,0 299 47 379,0 299 251 583,0 295 467 781,0 295 671 985,200 499 47 379,200 499 251 583,197 492 467 781,197 492 671 985,399 698 47 379,399 698 251 583,394 689 467 781,394 689 671 985,599 907 47 379,599 907 251 583,591 895 467 781,591 895 671 985
25,00009461_001,images/00009461_001.png,1,33 294 51 329,33 294 255 533,17 292 453 837,17 292 657 1024,207 469 51 329,207 469 255 533,200 476 453 837,200 476 657 1024,381 643 51 329,381 643 255 533,384 659 453 837,384 659 657 1024,556 825 51 329,556 825 255 533,567 851 453 837,567 851 657 1024
26,00017691_017,images/00017691_017.png,1,39 285 9 319,39 285 213 523,25 280 395 701,25 280 599 905,203 449 9 319,203 449 213 523,195 450 395 701,195 450 599 905,367 613 9 319,367 613 213 523,365 619 395 701,365 619 599 905,531 785 9 319,531 785 213 523,535 797 395 701,535 797 599 905
27,00019306_001,images/00019306_001.png,1,65 306 0 357,65 306 185 561,79 328 455 817,79 328 659 1021,226 467 0 357,226 467 185 561,245 495 455 817,245 495 659 1021,386 627 0 357,386 627 185 561,412 661 455 817,412 661 659 1021,547 795 0 357,547 795 185 561,578 835 455 817,578 835 659 1021
28,00001850_001,images/00001850_001.png,1,67 345 0 357,67 345 203 561,49 363 443 743,49 363 647 947,252 530 0 357,252 530 203 561,258 573 443 743,258 573 647 947,437 715 0 357,437 715 203 561,468 782 443 743,468 782 647 947,623 909 0 357,623 909 203 561,677 1001 443 743,677 1001 647 947
29,00023139_000,images/00023139_000.png,1,0 299 0 267,0 299 197 471,0 335 369 675,0 335 573 879,199 498 0 267,199 498 197 471,223 558 369 675,223 558 573 879,398 697 0 267,398 697 197 471,447 782 369 675,447 782 573 879,597 905 0 267,597 905 197 471,670 1015 369 675,670 1015 573 879
30,00000415_000,images/00000415_000.png,1,0 280 0 351,0 280 139 555,0 285 443 795,0 285 647 999,187 467 0 351,187 467 139 555,190 475 443 795,190 475 647 999,374 654 0 351,374 654 139 555,380 665 443 795,380 665 647 999,560 849 0 351,560 849 139 555,570 863 443 795,570 863 647 999
31,00023073_006,images/00023073_006.png,1,11 342 19 425,11 342 223 629,9 344 535 922,9 344 739 1024,232 563 19 425,232 563 223 629,232 567 535 922,232 567 739 1024,453 784 19 425,453 784 223 629,456 791 535 922,456 791 739 1024,674 1015 19 425,674 1015 223 629,679 1024 535 922,679 1024 739 1024
32,00029108_005,images/00029108_005.png,1,97 393 21 355,97 393 225 559,85 389 439 789,85 389 643 993,295 591 21 355,295 591 225 559,287 591 439 789,287 591 643 993,492 788 21 355,492 788 225 559,490 793 439 789,490 793 643 993,690 995 21 355,690 995 225 559,692 1005 439 789,692 1005 643 993
33,00028845_000,images/00028845_000.png,1,3 308 0 371,3 308 183 575,13 308 489 869,13 308 693 1024,206 511 0 371,206 511 183 575,210 505 489 869,210 505 693 1024,410 714 0 371,410 714 183 575,406 701 489 869,406 701 693 1024,613 927 0 371,613 927 183 575,603 907 489 869,603 907 693 1024
34,00004176_002,images/00004176_002.png,1,49 336 47 383,49 336 251 587,45 339 475 807,45 339 679 1011,240 528 47 383,240 528 251 587,241 535 475 807,241 535 679 1011,432 719 47 383,432 719 251 587,437 730 475 807,437 730 679 1011,623 919 47 383,623 919 251 587,632 935 475 807,632 935 679 1011
35,00018492_001,images/00018492_001.png,1,79 305 75 367,79 305 279 571,95 346 471 801,95 346 675 1005,230 456 75 367,230 456 279 571,263 514 471 801,263 514 675 1005,381 607 75 367,381 607 279 571,430 682 471 801,430 682 675 1005,532 765 75 367,532 765 279 571,598 857 471 801,598 857 675 1005
36,00012864_005,images/00012864_005.png,1,0 256 57 379,0 256 261 583,0 269 471 747,0 269 675 951,170 426 57 379,170 426 261 583,179 448 471 747,179 448 675 951,341 597 57 379,341 597 261 583,359 628 471 747,359 628 675 951,512 775 57 379,512 775 261 583,538 815 471 747,538 815 675 951
37,00019069_000,images/00019069_000.png,1,0 267 0 365,0 267 193 569,0 262 453 797,0 262 657 1001,178 445 0 365,178 445 193 569,175 437 453 797,175 437 657 1001,356 623 0 365,356 623 193 569,350 612 453 797,350 612 657 1001,534 809 0 365,534 809 193 569,525 795 453 797,525 795 657 1001
38,00014300_000,images/00014300_000.png,1,89 377 53 415,89 377 257 619,81 325 531 859,81 325 735 1024,281 569 53 415,281 569 257 619,243 487 531 859,243 487 735 1024,473 760 53 415,473 760 257 619,406 649 531 859,406 649 735 1024,665 961 53 415,665 961 257 619,568 819 531 859,568 819 735 1024
39,00020046_004,images/00020046_004.png,1,0 270 0 343,0 270 177 547,0 248 441 747,0 248 645 951,180 450 0 343,180 450 177 547,165 413 441 747,165 413 645 951,360 631 0 343,360 631 177 547,330 578 441 747,330 578 645 951,541 819 0 343,541 819 177 547,496 751 441 747,496 751 645 951
40,00017324_008,images/00017324_008.png,1,0 253 79 409,0 253 283 613,0 295 495 789,0 295 699 993,169 422 79 409,169 422 283 613,196 491 495 789,196 491 699 993,337 591 79 409,337 591 283 613,393 688 495 789,393 688 699 993,506 767 79 409,506 767 283 613,589 893 495 789,589 893 699 993
41,00009457_004,images/00009457_004.png,1,141 432 119 341,141 432 323 545,99 391 459 749,99 391 663 953,335 627 119 341,335 627 323 545,294 586 459 749,294 586 663 953,530 821 119 341,530 821 323 545,489 781 459 749,489 781 663 953,724 1024 119 341,724 1024 323 545,684 985 459 749,684 985 663 953
42,00010698_047,images/00010698_047.png,1,33 335 25 385,33 335 229 589,23 333 457 745,23 333 661 949,234 536 25 385,234 536 229 589,230 540 457 745,230 540 661 949,435 737 25 385,435 737 229 589,437 747 457 745,437 747 661 949,636 947 25 385,636 947 229 589,643 963 457 745,643 963 661 949
43,00016451_001,images/00016451_001.png,1,67 292 113 373,67 292 317 577,49 285 467 733,49 285 671 937,217 442 113 373,217 442 317 577,207 443 467 733,207 443 671 937,367 592 113 373,367 592 317 577,364 600 467 733,364 600 671 937,517 749 113 373,517 749 317 577,522 765 467 733,522 765 671 937
44,00010507_006,images/00010507_006.png,1,29 351 57 411,29 351 261 615,17 349 503 825,17 349 707 1024,244 566 57 411,244 566 261 615,239 571 503 825,239 571 707 1024,458 781 57 411,458 781 261 615,460 792 503 825,460 792 707 1024,673 1005 57 411,673 1005 261 615,682 1024 503 825,682 1024 707 1024
45,00025457_003,images/00025457_003.png,1,39 295 11 361,39 295 215 565,39 292 439 779,39 292 643 983,210 466 11 361,210 466 215 565,208 461 439 779,208 461 643 983,380 637 11 361,380 637 215 565,377 630 439 779,377 630 643 983,551 815 11 361,551 815 215 565,546 807 439 779,546 807 643 983
46,00016655_000,images/00016655_000.png,1,77 238 47 351,77 238 251 555,73 263 455 745,73 263 659 949,184 345 47 351,184 345 251 555,200 390 455 745,200 390 659 949,292 453 47 351,292 453 251 555,326 517 455 745,326 517 659 949,399 565 47 351,399 565 251 555,453 649 455 745,453 649 659 949
47,00013079_003,images/00013079_003.png,1,79 375 0 355,79 375 147 559,103 407 449 767,103 407 653 971,276 572 0 355,276 572 147 559,306 610 449 767,306 610 653 971,473 769 0 355,473 769 147 559,508 812 449 767,508 812 653 971,670 975 0 355,670 975 147 559,711 1024 449 767,711 1024 653 971
48,00001444_000,images/00001444_000.png,1,23 234 0 309,23 234 151 513,11 249 401 733,11 249 605 937,164 375 0 309,164 375 151 513,170 408 401 733,170 408 605 937,305 516 0 309,305 516 151 513,329 567 401 733,329 567 605 937,445 663 0 309,445 663 151 513,488 733 401 733,488 733 605 937
49,00028453_003,images/00028453_003.png,1,69 384 27 361,69 384 231 565,49 371 499 845,49 371 703 1024,279 594 27 361,279 594 231 565,263 585 499 845,263 585 703 1024,489 804 27 361,489 804 231 565,478 800 499 845,478 800 703 1024,699 1024 27 361,699 1024 231 565,693 1024 499 845,693 1024 703 1024
50,00007286_014,images/00007286_014.png,1,75 317 75 297,75 317 279 501,33 296 449 755,33 296 653 959,236 479 75 297,236 479 279 501,208 471 449 755,208 471 653 959,398 640 75 297,398 640 279 501,383 646 449 755,383 646 653 959,559 809 75 297,559 809 279 501,558 829 449 755,558 829 653 959
51,00000372_000,images/00000372_000.png,1,75 367 0 423,75 367 191 627,61 363 499 769,61 363 703 973,269 561 0 423,269 561 191 627,263 565 499 769,263 565 703 973,464 756 0 423,464 756 191 627,464 766 499 769,464 766 703 973,658 959 0 423,658 959 191 627,666 977 499 769,666 977 703 973
52,00028004_000,images/00028004_000.png,1,0 261 113 399,0 261 317 603,0 300 531 869,0 300 735 1024,174 435 113 399,174 435 317 603,200 500 531 869,200 500 735 1024,348 609 113 399,348 609 317 603,400 700 531 869,400 700 735 1024,522 791 113 399,522 791 317 603,600 909 531 869,600 909 735 1024
53,00016739_001,images/00016739_001.png,1,0 338 0 363,0 338 139 567,3 340 463 837,3 340 667 1024,225 563 0 363,225 563 139 567,228 565 463 837,228 565 667 1024,451 788 0 363,451 788 139 567,452 789 463 837,452 789 667 1024,676 1024 0 363,676 1024 139 567,677 1024 463 837,677 1024 667 1024
54,00028975_002,images/00028975_002.png,1,21 296 21 371,21 296 225 575,37 255 467 739,37 255 671 943,204 480 21 371,204 480 225 575,182 400 467 739,182 400 671 943,388 663 21 371,388 663 225 575,327 545 467 739,327 545 671 943,571 855 21 371,571 855 225 575,473 697 467 739,473 697 671 943
55,00008678_001,images/00008678_001.png,1,0 285 0 377,0 285 161 581,0 287 459 813,0 287 663 1017,190 476 0 377,190 476 161 581,192 479 459 813,192 479 663 1017,381 666 0 377,381 666 161 581,383 671 459 813,383 671 663 1017,571 865 0 377,571 865 161 581,575 871 459 813,575 871 663 1017
56,00021698_001,images/00021698_001.png,1,5 341 45 361,5 341 249 565,3 324 457 779,3 324 661 983,229 565 45 361,229 565 249 565,217 538 457 779,217 538 661 983,453 790 45 361,453 790 249 565,431 751 457 779,431 751 661 983,678 1024 45 361,678 1024 249 565,645 975 457 779,645 975 661 983
57,00005543_002,images/00005543_002.png,1,133 377 131 419,133 377 335 623,101 350 489 773,101 350 693 977,296 540 131 419,296 540 335 623,267 516 489 773,267 516 693 977,459 703 131 419,459 703 335 623,433 682 489 773,433 682 693 977,621 873 131 419,621 873 335 623,599 855 489 773,599 855 693 977
58,00027392_000,images/00027392_000.png,1,0 260 21 361,0 260 225 565,0 283 443 787,0 283 647 991,173 433 21 361,173 433 225 565,189 472 443 787,189 472 647 991,346 606 21 361,346 606 225 565,378 661 443 787,378 661 647 991,519 787 21 361,519 787 225 565,567 859 443 787,567 859 647 991
59,00006436_000,images/00006436_000.png,1,0 235 0 301,0 235 129 505,0 238 401 757,0 238 605 961,156 391 0 301,156 391 129 505,159 397 401 757,159 397 605 961,313 547 0 301,313 547 129 505,317 555 401 757,317 555 605 961,469 711 0 301,469 711 129 505,476 721 401 757,476 721 605 961
60,00009021_003,images/00009021_003.png,1,0 233 63 379,0 233 267 583,0 252 465 765,0 252 669 969,156 389 63 379,156 389 267 583,168 421 465 765,168 421 669 969,311 544 63 379,311 544 267 583,337 589 465 765,337 589 669 969,467 707 63 379,467 707 267 583,505 765 465 765,505 765 669 969
61,00012189_001,images/00012189_001.png,1,0 338 0 369,0 338 177 573,0 338 463 817,0 338 667 1021,225 563 0 369,225 563 177 573,225 563 463 817,225 563 667 1021,451 788 0 369,451 788 177 573,451 788 463 817,451 788 667 1021,676 1024 0 369,676 1024 177 573,676 1024 463 817,676 1024 667 1021
62,00028329_000,images/00028329_000.png,1,0 263 0 391,0 263 191 595,0 284 491 827,0 284 695 1024,175 438 0 391,175 438 191 595,189 474 491 827,189 474 695 1024,351 614 0 391,351 614 191 595,379 663 491 827,379 663 695 1024,526 797 0 391,526 797 191 595,568 861 491 827,568 861 695 1024
63,00010203_000,images/00010203_000.png,1,43 329 0 355,43 329 151 559,59 341 453 839,59 341 657 1024,234 520 0 355,234 520 151 559,247 530 453 839,247 530 657 1024,425 711 0 355,425 711 151 559,436 718 453 839,436 718 657 1024,616 911 0 355,616 911 151 559,624 915 453 839,624 915 657 1024
64,00015401_000,images/00015401_000.png,1,155 412 31 383,155 412 235 587,165 447 463 791,165 447 667 995,326 583 31 383,326 583 235 587,353 636 463 791,353 636 667 995,497 754 31 383,497 754 235 587,542 824 463 791,542 824 667 995,668 933 31 383,668 933 235 587,730 1021 463 791,730 1021 667 995
65,00012345_000,images/00012345_000.png,1,41 344 13 389,41 344 217 593,37 351 499 869,37 351 703 1024,243 546 13 389,243 546 217 593,246 559 499 869,246 559 703 1024,445 748 13 389,445 748 217 593,455 769 499 869,455 769 703 1024,647 959 13 389,647 959 217 593,664 987 499 869,664 987 703 1024
66,00018853_001,images/00018853_001.png,1,55 345 0 371,55 345 161 575,55 352 467 845,55 352 671 1024,248 538 0 371,248 538 161 575,253 550 467 845,253 550 671 1024,441 731 0 371,441 731 161 575,451 748 467 845,451 748 671 1024,634 933 0 371,634 933 161 575,649 955 467 845,649 955 671 1024
67,00020702_000,images/00020702_000.png,1,0 287 0 363,0 287 191 567,0 264 473 811,0 264 677 1015,191 478 0 363,191 478 191 567,176 439 473 811,176 439 677 1015,382 669 0 363,382 669 191 567,352 615 473 811,352 615 677 1015,574 869 0 363,574 869 191 567,527 799 473 811,527 799 677 1015
68,00029156_003,images/00029156_003.png,1,3 338 35 391,3 338 239 595,0 320 481 807,0 320 685 1011,227 562 35 391,227 562 239 595,213 533 481 807,213 533 685 1011,450 785 35 391,450 785 239 595,426 746 481 807,426 746 685 1011,674 1019 35 391,674 1019 239 595,640 969 481 807,640 969 685 1011
69,00006448_000,images/00006448_000.png,1,0 338 0 349,0 338 153 553,0 338 453 817,0 338 657 1021,225 563 0 349,225 563 153 553,225 563 453 817,225 563 657 1021,451 788 0 349,451 788 153 553,451 788 453 817,451 788 657 1021,676 1024 0 349,676 1024 153 553,676 1024 453 817,676 1024 657 1021
70,00009390_000,images/00009390_000.png,1,0 234 45 343,0 234 249 547,11 259 419 693,11 259 623 897,156 390 45 343,156 390 249 547,176 425 419 693,176 425 623 897,312 546 45 343,312 546 249 547,342 590 419 693,342 590 623 897,468 709 45 343,468 709 249 547,507 763 419 693,507 763 623 897
71,00006791_006,images/00006791_006.png,1,0 330 0 357,0 330 199 561,0 338 435 829,0 338 639 1024,220 549 0 357,220 549 199 561,225 563 435 829,225 563 639 1024,440 769 0 357,440 769 199 561,451 788 435 829,451 788 639 1024,659 999 0 357,659 999 199 561,676 1024 435 829,676 1024 639 1024
72,00010310_000,images/00010310_000.png,1,0 208 91 387,0 208 295 591,0 217 507 827,0 217 711 1024,139 347 91 387,139 347 295 591,145 361 507 827,145 361 711 1024,278 486 91 387,278 486 295 591,289 506 507 827,289 506 711 1024,416 631 91 387,416 631 295 591,434 657 507 827,434 657 711 1024
73,00005512_009,images/00005512_009.png,1,0 258 37 341,0 258 241 545,0 277 425 681,0 277 629 885,172 431 37 341,172 431 241 545,185 461 425 681,185 461 629 885,345 603 37 341,345 603 241 545,369 646 425 681,369 646 629 885,517 783 37 341,517 783 241 545,554 839 425 681,554 839 629 885
74,00029283_001,images/00029283_001.png,1,69 372 69 425,69 372 273 629,59 352 507 861,59 352 711 1024,271 574 69 425,271 574 273 629,254 547 507 861,254 547 711 1024,473 776 69 425,473 776 273 629,450 743 507 861,450 743 711 1024,675 987 69 425,675 987 273 629,645 947 507 861,645 947 711 1024
75,00018859_000,images/00018859_000.png,1,85 380 43 377,85 380 247 581,89 386 495 829,89 386 699 1024,282 577 43 377,282 577 247 581,287 584 495 829,287 584 699 1024,478 773 43 377,478 773 247 581,485 782 495 829,485 782 699 1024,675 979 43 377,675 979 247 581,683 989 495 829,683 989 699 1024
76,00029844_002,images/00029844_002.png,1,61 379 23 365,61 379 227 569,59 371 447 733,59 371 651 937,273 591 23 365,273 591 227 569,267 578 447 733,267 578 651 937,485 803 23 365,485 803 227 569,474 786 447 733,474 786 651 937,697 1024 23 365,697 1024 227 569,682 1003 447 733,682 1003 651 937
77,00014219_000,images/00014219_000.png,1,47 321 209 455,47 321 413 659,63 345 541 773,63 345 745 977,230 504 209 455,230 504 413 659,251 533 541 773,251 533 745 977,412 686 209 455,412 686 413 659,439 721 541 773,439 721 745 977,595 877 209 455,595 877 413 659,627 917 541 773,627 917 745 977
78,00023027_000,images/00023027_000.png,1,0 337 9 355,0 337 213 559,0 313 449 771,0 313 653 975,225 562 9 355,225 562 213 559,208 521 449 771,208 521 653 975,449 786 9 355,449 786 213 559,417 729 449 771,417 729 653 975,674 1021 9 355,674 1021 213 559,625 947 449 771,625 947 653 975
79,00000093_001,images/00000093_001.png,1,69 375 51 283,69 375 255 487,15 301 407 785,15 301 611 989,273 579 51 283,273 579 255 487,206 492 407 785,206 492 611 989,477 784 51 283,477 784 255 487,397 683 407 785,397 683 611 989,681 997 51 283,681 997 255 487,588 883 407 785,588 883 611 989
80,00028013_007,images/00028013_007.png,1,37 313 0 361,37 313 199 565,33 335 447 821,33 335 651 1024,221 497 0 361,221 497 199 565,235 537 447 821,235 537 651 1024,405 681 0 361,405 681 199 565,436 738 447 821,436 738 651 1024,589 873 0 361,589 873 199 565,638 949 447 821,638 949 651 1024
81,00026336_002,images/00026336_002.png,1,0 260 0 333,0 260 197 537,0 278 435 761,0 278 639 965,174 434 0 333,174 434 197 537,185 463 435 761,185 463 639 965,347 608 0 333,347 608 197 537,370 648 435 761,370 648 639 965,521 789 0 333,521 789 197 537,555 841 435 761,555 841 639 965
82,00010531_082,images/00010531_082.png,1,0 290 0 351,0 290 195 555,0 266 443 759,0 266 647 963,193 483 0 351,193 483 195 555,177 443 443 759,177 443 647 963,387 677 0 351,387 677 195 555,354 620 443 759,354 620 647 963,580 879 0 351,580 879 195 555,531 805 443 759,531 805 647 963
83,00012884_003,images/00012884_003.png,1,0 294 0 349,0 294 165 553,0 303 447 735,0 303 651 939,196 490 0 349,196 490 165 553,202 504 447 735,202 504 651 939,392 686 0 349,392 686 165 553,403 706 447 735,403 706 651 939,588 891 0 349,588 891 165 553,605 917 447 735,605 917 651 939
84,00011522_000,images/00011522_000.png,1,73 284 79 335,73 284 283 539,23 305 459 811,23 305 663 1015,213 424 79 335,213 424 283 539,211 494 459 811,211 494 663 1015,354 564 79 335,354 564 283 539,400 682 459 811,400 682 663 1015,494 711 79 335,494 711 283 539,588 879 459 811,588 879 663 1015
85,00027370_004,images/00027370_004.png,1,51 254 83 391,51 254 287 595,21 235 459 771,21 235 663 975,186 389 83 391,186 389 287 595,164 379 459 771,164 379 663 975,321 524 83 391,321 524 287 595,307 521 459 771,307 521 663 975,456 665 83 391,456 665 287 595,450 671 459 771,450 671 663 975
86,00022651_024,images/00022651_024.png,1,0 188 85 373,0 188 289 577,0 230 477 815,0 230 681 1019,126 314 85 373,126 314 289 577,153 383 477 815,153 383 681 1019,251 440 85 373,251 440 289 577,307 537 477 815,307 537 681 1019,377 571 85 373,377 571 289 577,460 697 477 815,460 697 681 1019
87,00011621_001,images/00011621_001.png,1,1 283 0 385,1 283 153 589,0 296 493 857,0 296 697 1024,189 471 0 385,189 471 153 589,197 493 493 857,197 493 697 1024,377 659 0 385,377 659 153 589,395 691 493 857,395 691 697 1024,565 855 0 385,565 855 153 589,592 897 493 857,592 897 697 1024
88,00017323_002,images/00017323_002.png,1,0 243 0 361,0 243 161 565,1 289 483 873,1 289 687 1024,162 405 0 361,162 405 161 565,193 481 483 873,193 481 687 1024,324 567 0 361,324 567 161 565,385 672 483 873,385 672 687 1024,486 737 0 361,486 737 161 565,577 873 483 873,577 873 687 1024
89,00006215_011,images/00006215_011.png,1,55 341 0 369,55 341 185 573,45 344 463 831,45 344 667 1024,246 531 0 369,246 531 185 573,244 543 463 831,244 543 667 1024,436 722 0 369,436 722 185 573,444 743 463 831,444 743 667 1024,627 921 0 369,627 921 185 573,643 951 463 831,643 951 667 1024
90,00003174_011,images/00003174_011.png,1,0 182 105 377,0 182 309 581,0 248 481 843,0 248 685 1024,121 303 105 377,121 303 309 581,166 414 481 843,166 414 685 1024,242 424 105 377,242 424 309 581,331 580 481 843,331 580 685 1024,364 551 105 377,364 551 309 581,497 753 481 843,497 753 685 1024
91,00022651_002,images/00022651_002.png,1,39 344 0 297,39 344 119 501,51 357 407 705,51 357 611 909,242 547 0 297,242 547 119 501,255 560 407 705,255 560 611 909,446 750 0 297,446 750 119 501,458 764 407 705,458 764 611 909,649 963 0 297,649 963 119 501,662 977 407 705,662 977 611 909
